building	room	width (in)	length (in)	height from floor (in)	chair height (in)	room type	Room Count
recitation hall	101	18.5	11.1875	27.75	17.375	LCTR	1
Purnell Hall	115	10	11.5	23	16.25	AUD	1
Purnell Hall	227	16.5	11.5	28	17	LCTR	1
Ewing Hall	204	18.125	11.5	27	17.25	FLEX	1
Gore Hall	308	14.75	11.75	29.5	18.25	LCTR	1
Penny	209	26.75	23.5	28.75	17.75	PBL	2
ISE	110	22	12.25	28.25	18	FLEX	12
Pearson	114	21.50	13.00	29.00	19.50	LCTR	1
Pearson	218	22	12.25	28.25	18		1
Colburn	366	10.13	12.50	27.00	17.75		1
Colburn	102	29.75	17.50	28.75	17.75	LCTR	1
Colburn	109	14.63	13.75	27.75	16.75	LCTR	2
Robinson	206	29.50	19.75	28.00	16.25		1
Robinson	203	34.5	20	30	17.75	CASE	1
Robinson	202	30	24	29	17.75		1
Memorial	37	16.75	11	28	17.75	LCTR	9
Memorial	48	36	36	28.75	16.75	SMNR	1
Memorial	28	9.6	9.6	28.5	18.25		1
Memorial	107	36	21	28.5	18.25	SMNR	3
Memorial	110	28	30	28.75	17.75	PBL	1
Memorial	109	16	26	28.75	18.25	PBL	1
Memorial	127	28.25	18.75	31.5	21.25	CASE	1
Brown Lab	101	10	11.5	23	16.25	AUD	1
Brown Lab	116	13	20.5	29	17.75	PBL	1
Brown Lab	206	16	26	28.25	17.75	LCTR	1
Brown Lab	220	29.75	29.5	28.75	17.75		1
Brown Lab	207	18.25	11.625	27	18.5	LCTR	2
Gore Hall	102	18.25	11.75	28.25	17.5	FLEX	10
Gore Hall	116	25	22	29.25	19.5	CASE	3
Gore Hall	218	22	12.25	28.25	18	FLEX	2
Gore Hall	208	16.25	11.25	28.5	16.25	LCTR	1
Gore Hall	304	14.75	12	29.75	18	LCTR	7
Gore Hall	316	36	36	28.75	16.75	SMNR	2
Sharp	100	14.5	13.5	28.5	17.75	FLEX	9
Sharp	130	10	11.5	23	16.25	AUD	2
Wolf	100	10	11.5	23	16.25	AUD	1
Smith Hall	209	12.5	11.5	28.75	17	LCTR	1
Smith Hall	120	10	11.5	23	16.25	AUD	4
Kirkbride	100	10	11.5	23	16.25	AUD	7
Ewing Hall	204	18.5	11.5	27.75	17.25	FLEX	4
Purnell Hall	116	30	24	28.5	17.25	CASE	2
Purnell Hall	228	16.5	11.5	28	17	LCTR	17
Purnell Hall	234	16	26	28.75	18.25	SMNR	1
Purnell Hall	331	21.5	13	28.25	18.5	LCTR	2
Alison	325	15	13.75	28.5	17.25	FLEX	11
willard	208	19.41	19.41	29.125	18.125	PBL	1
willard	217	18.92	18.92	30.125	18.625	PBL	1
willard	218	18.92	18.92	30.125	18.625	PBL	1
willard	323	19.41	19.41	29.125	18.125	PBL	1
willard	319	19.41	19.41	29.125	18.125	PBL	1
